"uid","value","metric","epoch","dia","mes","año"
0,5.309,0,1715011901128,6,5,2024
0,7.602,0,1715011901128,6,5,2024
0,5.277,0,1715011901128,6,5,2024
0,6.126,0,1715011901128,6,5,2024
0,4.989,0,1715011901128,6,5,2024
0,10.542,0,1715011901128,6,5,2024
0,20.343,0,1715011901128,6,5,2024
0,13.792,0,1715011901128,6,5,2024
0,13.622,0,1715011901128,6,5,2024
0,8.936,0,1715011901128,6,5,2024
0,5.966,0,1715011901128,6,5,2024
0,5.424,0,1715011901128,6,5,2024
0,4.622,0,1715011901128,6,5,2024
0,6.264,0,1715011901128,6,5,2024
0,4.775,0,1715011901128,6,5,2024
0,4.838,0,1715011901128,6,5,2024
0,6.539,0,1715011901128,6,5,2024
0,6.879,0,1715011901128,6,5,2024
0,6.765,0,1715011901128,6,5,2024
0,5.31,0,1715011901128,6,5,2024
0,7.114,0,1715011901128,6,5,2024
0,4.889,0,1715011901128,6,5,2024
0,6.25,0,1715011901128,6,5,2024
0,194.531,0,1715011901129,6,5,2024
0,6.185,0,1715011901129,6,5,2024
0,8.937,0,1715011901129,6,5,2024
0,11.565,0,1715011901129,6,5,2024
0,10.261,0,1715011901129,6,5,2024
0,16.015,0,1715011901129,6,5,2024
0,11.953,0,1715011901129,6,5,2024
0,13.376,0,1715011901129,6,5,2024
0,14.312,0,1715011901129,6,5,2024
0,9.42,0,1715011901129,6,5,2024
0,8.756,0,1715011901129,6,5,2024
0,7.451,0,1715011901129,6,5,2024
0,7.442,0,1715011901129,6,5,2024
0,5.248,0,1715011901129,6,5,2024
0,5.785,0,1715011901129,6,5,2024
0,5.42,0,1715011901129,6,5,2024
0,4.529,0,1715011901129,6,5,2024
0,4.816,0,1715011901129,6,5,2024
0,6.894,0,1715011901129,6,5,2024
0,4.986,0,1715011901129,6,5,2024
0,6.991,0,1715011901129,6,5,2024
0,5.274,0,1715011901129,6,5,2024
0,7.074,0,1715011901129,6,5,2024
0,5,0,1715011901129,6,5,2024
0,6.351,0,1715011901129,6,5,2024
0,220.512,0,1715011901129,6,5,2024
0,8.462,0,1715011901129,6,5,2024
0,1373.533,0,1715011901129,6,5,2024
0,12.354,0,1715011901129,6,5,2024
0,14.877,0,1715011901129,6,5,2024
0,17.031,0,1715011901129,6,5,2024
0,12.015,0,1715011901129,6,5,2024
0,16.575,0,1715011901129,6,5,2024
0,15.787,0,1715011901129,6,5,2024
0,14.51,0,1715011901129,6,5,2024
0,9.572,0,1715011901129,6,5,2024
0,8.441,0,1715011901129,6,5,2024
0,7.271,0,1715011901129,6,5,2024
0,7.036,0,1715011901129,6,5,2024
0,4.809,0,1715011901129,6,5,2024
0,7.001,0,1715011901129,6,5,2024